latitude,longitude,depth,TVD,MD
38.82674348335326,-122.81900294484984,1863.766656,7352.61551007724,7704
38.8266553342436,-122.8184746444135,1885.968288,7423.951290070374,7797
38.82656934305144,-122.81791995771512,1907.648712,7496.792093180561,7893
38.82649135728935,-122.81736009289111,1929.045672,7567.920916603393,7988
38.82640492154361,-122.81679213542418,1950.363384,7638.123377046619,8083
38.826291813795095,-122.81621275562851,1971.044064,7708.056159663093,8179
38.82614592460388,-122.81563418178096,1991.368128,7775.913324844132,8274
38.82595230045554,-122.81504539594094,2011.033824,7842.588818225764,8370
38.82571248553221,-122.81446742041518,2016.169704,7907.110872131419,8465
38.825641590727805,-122.81431751701618,2028.379992,7923.955784806103,8490
