station,latitude,longitude
KHBB,40.659901,-123.219658
KHM,40.874493,-123.732361
KHMB,40.874748,-123.73259
KIP,39.808517,-123.481293
KJJ,40.24744,-124.308273
KKP,40.145794,-123.46965
KLR,40.062937,-123.330835
KMP,40.417511,-124.120613
KMPB,40.417194,-124.120758
KMR,40.202175,-123.708633
KOM,41.278782,-123.453079
KPP,40.345791,-123.363281
KPPB,40.34587,-123.36322
KPR,40.2196,-124.05732
KRK,39.563152,-123.18367
KRM,41.522068,-123.906281
KRMB,41.522957,-123.907974
KRP,41.157516,-124.023453
KSC,42.344109,-124.165504
KSM,40.186806,-124.175682
KSP,39.518253,-123.50164
KSX,41.830833,-123.87677
KSXB,41.830379,-123.876884
KTD,41.05387,-124.15057
KTR,41.908474,-123.377548
L001,40.225349,-121.075737
L002,40.171329,-121.072609
L003,40.162472,-120.965401
LAB,41.48671,-121.82048
LAC,40.427452,-122.384941
LAM,41.609867,-122.625587
LAMB,41.610001,-122.625526
LAS,41.59935,-121.577728
LASH,41.26028,-121.94918
LBA,40.572666,-121.431
LBC,40.836742,-121.34993
LBE,41.301744,-121.719011
LBF,41.347065,-121.890976
LBG,40.802334,-122.589668
LBK,41.083817,-122.667313
LBL,41.79533,-122.15616
LBM,40.732735,-122.367363
LBO,41.4921,-122.24427
LBP,40.316711,-122.881935
LBR,41.40942,-122.06776
LBU,40.8044,-121.64347
LCA,41.168835,-122.272835
LCF,40.486183,-121.527718
LCM,40.146584,-121.52253
LCS,41.416168,-122.392502
LCSB,41.415878,-122.393814
LDB,40.431046,-121.786324
LDH,40.511902,-121.581596
LDL,41.38136,-122.29369
LEL,40.464207,-121.518044
LGB,41.334183,-122.187706
LGH,41.6115,-121.621002
LGM,41.599316,-121.836304
LGO,40.41862,-120.80602
LGP,40.912281,-122.829491
LGR,41.639168,-122.480499
LGY,41.34488,-122.19581
LHC,40.804298,-121.517059
LHE,41.628582,-122.231636
LHH,41.522835,-121.532501
LHK,40.432987,-121.277916
LHM,40.896832,-122.245003
LHO,40.685165,-122.75
LMC,41.274158,-122.121971
LMD,41.573002,-121.623001
LME,40.537945,-121.571846
LMH,41.578678,-121.658516
LMI,40.51215,-122.14917
LMM,41.565334,-121.6185
LMP,41.487965,-122.154762
LMZ,40.545502,-121.564003
LOM,41.667332,-121.972336
LPD,41.193829,-121.697319
LPG,40.145138,-122.687881
LPK,41.455257,-122.543716
LRB,40.143227,-122.557716
LRCG,37.585667,-118.908836
LRD,40.465038,-121.46344
LRR,40.466305,-121.622299
LRS,41.581509,-121.523438
LSB,41.697278,-122.471395
LSF,40.658173,-122.523705
